acá	here
adelante	forward
además	also
alrededor	around
apenas	barely, just
a travéz    through
atrás	back, backward [can mean behind]
atrás y adelante	back and forth
aún	still
delante de	in front of
demás	[the] rest
de repente	suddenly
detrás de	behind
encima de	above, on top of
hacia	toward(s) [OSS-YA, not hacía]
jamás	never
a menudo	often
pese a	in spite of
sin embargo	nevertheless
siquiera	even, at least
tal	such
tampoco	either, neither, nor
todavía	yet
ya	already, still
